X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,45,5,5,5,11.286507505711148,42.86236074,3.119033190544727,5,5,5,11.24379634,42.761100154797376,3.2263422662156502
12.5,50,5,5,5,10.312327135173026,45.136223883934875,5.956379689152654,5,5,5,10.24340781422126,45.24646918575472,5.892282984482989
17.5,0,5,5,5,13.353391094118354,7.366993048,8.430260271,5,5,5,13.449312427152574,7.430592573883234,8.429598260900669
17.5,5,5,5,5,15.297705998423009,12.212636842373628,7.366469467617504,5,5,5,15.414745994092616,11.832775944002332,6.970738513384127
17.5,10,5,5,5,16.33825207120082,14.557676866374454,4.515532381659277,5,5,5,16.296934065273643,14.591847395614195,4.563182152082924
17.5,15,5,5,5,17.46460026088291,17.96328345066337,2.640862525,5,5,5,17.53479977418444,17.863606348892638,2.5276090555238317
17.5,20,5,5,5,17.752459098530686,21.79488889209345,1.4375325037994102,5,5,5,17.768964101251914,21.80741649157654,1.4458236223763856
17.5,25,5,5,5,18.259837797671235,25.522043645457295,0.2011038859915352,5,5,5,18.266765228384287,25.533406820368636,0.21356034538025293
17.5,30,5,5,5,17.70048944,29.39037844868769,1.0857920448442386,5,5,5,17.67858249805432,29.34578984998417,1.135320109635401
17.5,35,5,5,5,17.12551565846292,33.69110032130778,1.9672208426446003,5,5,5,17.088788608563007,33.66725925062432,2.006225057843445
17.5,40,5,5,5,16.173441350553183,36.23694454,4.587227815018155,6,5,5,16.01370746,34.55795720199126,6.203392668460502
17.5,45,3,3,3,15.485564902577346,39.22420471,6.706393837256648,3,3,3,15.770732892417897,40.00642660618163,5.875042061
17.5,50,5,5,5,13.165050551799283,42.904645598789344,8.974077315,5,5,5,13.421625436607604,43.481723543610336,8.351630839688289
22.5,0,5,5,4,25.617341474352155,-3.475036807,4.620921807828302,5,5,4,25.681619962926426,-3.637144388,4.792003384949765
22.5,5,5,5,5,19.09521858194176,11.486402820987191,7.285778853749639,5,5,5,19.17730479768715,11.324452551623171,7.105397644515229
22.5,10,5,5,5,20.29900452786538,14.931535762555296,5.327325032531452,5,5,5,20.271516906135176,14.987340764584033,5.389249660453072
22.5,15,5,5,5,21.92241244194605,18.119541522053296,2.9635483034793655,5,5,5,21.776893881020108,18.261092088913735,3.1522147362333666
22.5,20,5,5,5,23.011827855945846,21.585748259361807,1.1890219769065102,5,5,5,23.010557696847236,21.534492659914555,1.13801297
22.5,25,5,5,5,23.648477147881668,25.319201162173105,0.5543966395484228,5,5,5,23.518002277226554,25.207215333111716,0.46031709891531264
22.5,30,5,5,5,22.905562303581306,29.302392555021576,1.114696425517131,5,5,5,22.949482641590578,29.390092154111176,1.0210628444764562
22.5,35,5,5,5,21.899790313586113,33.09247329611664,2.600996497594054,5,5,5,22.060232161349226,33.33459226778534,2.3123637816279268
22.5,40,5,5,5,21.020170653815192,36.56681285569504,4.361079429741716,5,5,5,20.971864586864637,36.47622018837769,4.463743759
22.5,45,5,5,5,20.00330804584353,40.36196186237423,5.9136561732239015,5,5,5,19.636100582313066,39.74608241030084,6.630639734366617
22.5,50,5,3,0,17.428725951159624,41.37548950179183,10.65857115514644,5,5,2,22.02880003702809,48.59503138792381,2.098899962182872
27.5,0,5,5,5,31.218071829649993,-4.747212708,6.0179872547689754,5,5,5,31.281084228699296,-4.820945664,6.113719857891059
27.5,5,5,5,5,31.581871825353534,0.042539402,6.389508233214583,5,5,5,31.40632614004209,0.36794397681282265,6.021078006870527
27.5,10,5,5,5,26.785727236227643,13.366798171809233,3.244873539884788,5,5,5,26.49907556849906,13.909519492206496,3.857419616991902
27.5,15,5,5,5,27.416478076649394,18.497172437155278,3.1716997533145026,5,5,5,27.448314503631412,18.536435331276692,3.203423258556057
27.5,20,5,5,5,27.906538986099054,21.701637973477535,1.3159363882415784,5,5,5,27.67794395713283,21.8255789,1.4867435950497423
27.5,25,5,5,5,28.247387452698653,25.278400245158924,0.1910747539326085,5,5,5,28.168445348384058,25.31796499114541,0.10683870269330026
27.5,30,5,5,5,27.92379840688458,29.446497388796075,0.9696464463860592,5,5,5,27.94796215323562,29.346076519114433,1.0648334190899047
27.5,35,2,2,2,27.642347889110845,32.791069596300495,2.6487663743616485,2,2,2,27.735769663061784,33.15715185611585,2.272230519747212
27.5,40,5,5,5,26.896341797934674,37.48170186543517,3.1567795408618093,6,5,5,30.608823166260326,38.71729680223242,3.0208746632956687
27.5,45,5,5,5,31.073937175483003,50.005836049775155,5.482520227151764,5,5,5,30.869593750264148,49.715224577584834,5.127554260706994
27.5,50,5,5,5,31.325300750709697,55.14856939305432,5.740337639301441,5,5,5,31.180749552866747,54.979485369158056,5.519302859403655
32.5,0,5,5,5,33.93944626913343,-2.123063594,2.6590449292462544,5,5,5,34.02781192162594,-2.188887418,2.750122365078974
32.5,5,5,5,5,34.87022235948625,2.004882361512917,3.8289046712070496,5,5,5,34.744614459667346,2.398407396780143,3.422618131876688
32.5,10,5,5,5,34.653305545551845,8.915924965,2.148310226119184,5,5,5,34.74203894068272,8.848156791,2.2593160976427593
32.5,15,5,5,4,34.19768273653865,14.432403221436028,1.4632672059409928,5,5,5,34.24840271004543,14.426381959460798,1.5055765916429116
32.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,35,5,5,4,34.008723034104946,36.284841087703676,1.268353776831024,5,5,5,34.01985453583439,36.13199212129591,1.1755614967896773
32.5,40,5,5,5,35.01345521232334,42.37501640860701,2.7499092101075453,5,5,5,34.943962962110014,42.127002082298176,2.5264076468170713
32.5,45,5,5,5,34.96438924162736,48.12227937203755,3.2995078759895415,5,5,5,35.00240370659763,47.99655240470653,3.218885560759137
32.5,50,5,5,5,34.64942856,53.093246820761046,3.1071381187906333,5,5,5,34.69917219804547,53.30207068821958,3.3135126374324937
37.5,0,5,5,5,38.08347519,-1.610624027,2.0106919326831987,5,5,5,38.05471995746417,-1.586724992,1.9872409205638115
37.5,5,5,5,5,38.29105914407434,3.9676703431036975,1.4450162084070541,5,5,5,38.33867866051381,3.944306089457416,1.475131270150364
37.5,10,5,5,5,38.25925162698834,9.877657160389282,0.5460797769474908,5,5,5,38.24237912,9.588314418309803,0.8240784533652732
37.5,15,5,5,5,38.36459436,15.25674724653887,0.3008845772356032,5,5,4,38.37710621639856,15.01135029527568,0.4773221638987927
37.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,35,5,5,5,37.74991157,36.21017873705389,0.8825822861341777,5,5,4,37.663366215123176,36.000386079493055,0.742369522
37.5,40,5,5,5,38.248332144520546,40.37890263,0.14982497898023206,5,5,5,38.32867222177001,40.69006581509351,0.36936318454212164
37.5,45,5,5,5,38.21395210969847,47.18947006489639,1.7930945865918586,5,5,5,38.043156228831016,47.29325519284758,1.8941083494787332
37.5,50,5,5,5,37.94281022671411,52.64512439265603,2.2506203952076818,5,5,5,38.01280326060219,52.63828855,2.2399863587147584
42.5,0,5,5,5,41.58520114125175,-1.778584051,2.6534588840548823,5,5,5,41.648767216796315,-1.721337851,2.5702433479308766
42.5,5,5,5,5,41.90078595460758,3.262621502834352,2.4508164286238467,5,5,5,41.60273853967415,2.862329578123698,2.946449227569169
42.5,10,5,5,5,41.94628360318268,9.684908632625431,1.3573566915069812,6,5,6,41.181394935576755,11.90227834662067,2.4367777132836443
42.5,15,5,5,4,41.834866120423804,14.670163349212979,1.4605564932872457,5,5,5,41.75190225025993,14.511043810899816,1.6148097872485676
42.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,35,5,5,5,40.30724907545514,38.602886965737696,4.249463806392357,5,5,5,41.059927115840665,37.09263910001181,2.650834679034319
42.5,40,5,5,5,41.48442905113922,41.72713094645499,2.090776420338014,5,5,5,41.61050445601164,41.57585445148948,1.8976908775268975
42.5,45,5,5,5,41.93799640671024,47.70310462,2.5796401414983023,5,5,5,42.29835143456895,47.17642065658102,1.9489255428531433
42.5,50,5,5,5,41.50746886223168,53.46688906328076,3.455714680240949,5,5,5,41.47864071663363,53.48748682897311,3.4873171414198576
47.5,0,5,5,5,45.48815642411163,-2.988407774,4.278204542901838,5,4,4,40.93012660748258,-5.454143486,9.256245481755258
47.5,5,5,5,5,45.920732188239015,2.3808575763415183,3.723496900725437,5,5,4,46.97126849458572,4.170134790207504,1.669312207339516
47.5,10,5,4,4,43.572928058210024,8.410712467851761,4.944860488598491,5,5,5,47.96100702843431,11.079809519042843,0.693873208
47.5,15,5,5,5,48.90850011568676,18.273537091621147,2.9851110287538765,5,5,5,48.76898350010309,18.101202717771415,2.7828106378095248
47.5,20,5,5,5,47.89022189210321,21.19830358189558,0.8254062414472474,5,5,5,47.81384174398397,21.11762821226502,0.7725780209951798
47.5,25,5,5,5,48.11364119931493,25.304497917671323,0.096471395,5,5,5,48.351815335643686,25.310851211321783,0.26713006155828745
47.5,30,5,5,5,48.01585001598902,29.33412051063932,1.0691961025222785,5,5,5,48.14569549611423,29.204849642621422,1.1960236014006012
47.5,35,5,5,5,49.25893027,31.90706426603189,3.680179263992473,5,5,5,48.92667799119064,32.21924521328484,3.2864262526839636
47.5,40,5,5,5,49.74545411353306,37.24760923656364,3.555993077206664,6,5,5,51.51987800401554,35.57504407092379,5.914031220739114
47.5,45,5,5,5,45.02433620310914,50.29929607889299,5.784704820486644,5,5,5,45.097166842243396,50.17413829215387,5.639982571420978
47.5,50,5,5,5,44.57827598871831,55.416579886205206,6.129324087231532,5,5,5,44.55257415436269,55.49380274,6.207338922028877
52.5,0,5,5,4,51.29002168711361,-1.963762522,2.9771454033234233,5,5,3,52.50720435929647,-0.012747145,0.7223343254676386
52.5,5,5,5,5,55.86904605962146,13.271285502448572,8.344144745949833,5,5,5,55.72678523183214,12.95746793800986,8.000957585703002
52.5,10,5,5,5,55.34775382,15.696740892780602,5.753943112,5,5,5,55.22083175890532,15.532543573011296,5.553461162053893
52.5,15,5,5,5,54.64334853905721,18.714590005996637,3.6562865889947407,5,5,5,54.63590719059523,18.70852499,3.6476497198762887
52.5,20,5,5,5,54.07371312657983,21.757817108705417,1.670863415592972,5,5,5,54.047716277403595,21.70826156097567,1.6154610655729926
52.5,25,5,5,5,53.616496530054974,25.559694936679627,0.540621067,5,5,5,53.58552742549021,25.52746416,0.5019800734986372
52.5,30,5,5,5,53.92016945932621,28.74366737193659,1.848273712629947,6,5,5,46.45841896399572,28.573286679895862,6.888213136340774
52.5,35,5,5,5,54.768295689325626,32.132478351547554,3.6687747587073045,5,5,5,54.647631604609316,32.26428420371609,3.4968381630624608
52.5,40,5,5,5,55.74458943,35.12839135626929,5.897771691408299,5,5,5,55.61039823921218,35.42068459,5.576350174481926
52.5,45,5,5,5,56.68590296590567,37.10025377887069,9.041265808,5,5,5,56.84801342160796,36.917303054446776,9.273820791812366
52.5,50,5,5,4,50.69439031909529,54.192301590070954,4.490936348571104,5,5,3,52.49969948239201,51.37332094846779,1.1435534006624564
57.5,0,5,5,5,59.60860823822244,2.5901636610697336,2.6594577790788447,5,5,5,60.530033683301816,4.147679693709809,4.466560957674957
57.5,5,5,5,5,60.406250843609634,8.549122087213268,3.9033015350885445,6,5,5,56.61462454349686,11.172537363068535,5.9605811675376215
57.5,10,5,5,5,59.69471158660574,12.816790292525596,2.8955103803130378,5,5,5,59.616256727060275,12.62397914717413,2.691675632282036
57.5,15,5,5,5,58.443136505727736,16.452940388688823,1.1074412506743683,5,5,5,58.49925061982508,16.520490991162678,1.1894961617035282
57.5,20,5,5,5,58.010028185045414,20.91983386947492,0.5275624885636708,5,5,5,58.044141145736624,20.95028758521579,0.5531153930621024
57.5,25,5,5,5,57.68328183514903,25.40148785576073,0.4167208209719364,5,5,5,57.70825077280897,25.399448715249743,0.39174961508551465
57.5,30,5,5,5,58.31203148157533,29.709018409047257,0.7227813695818478,5,5,5,58.36043167480384,29.642016825619883,0.8014756077913345
57.5,35,5,5,5,59.161167076768606,34.159647820367496,1.6323446616253339,5,5,5,59.19581624772161,34.05698265445049,1.7333519086491072
57.5,40,5,5,5,60.451899681497025,37.89939403650216,3.432850462299044,5,5,5,60.52995967487906,37.797894788992494,3.5602886892344485
57.5,45,5,5,5,61.40418706802179,41.856970721242014,4.844657743393103,5,5,5,61.37097713633561,41.731857615579074,4.914728881516816
57.5,50,5,5,5,62.420840098824215,44.10467311352846,7.635496039363693,5,5,5,62.85247451579303,43.44511507576061,8.423564467
62.5,0,5,5,3,65.60852169538789,3.912482302,4.316273047259371,5,5,3,65.65869028,3.952150607264315,4.3777471254934515
62.5,5,5,4,4,57.51481283617984,2.6377367585902483,6.230923998071633,5,4,4,57.17343846514139,2.121249407838018,6.773059653662312
62.5,10,5,5,5,64.59644804812618,11.307536108866689,1.750136723126948,5,5,5,64.56881879175256,11.338444513125669,1.7430165653891896
62.5,15,5,5,5,64.21029341620866,15.806545712407807,1.1823835614357374,5,5,5,64.20284430328718,15.770024252909323,1.163264159610397
62.5,20,5,5,5,63.5109647,20.691403463190216,0.5037935739162827,5,5,5,63.54590684591308,20.678261207677224,0.525606521
62.5,25,5,5,5,63.177660799839636,25.70787077303391,0.3175147440989634,6,5,6,53.97976971783336,20.60608881409452,10.303406468644194
62.5,30,5,5,5,63.70998528405386,30.33068503422868,0.6139109147442668,5,5,5,63.68507148458364,30.33276711297831,0.5889218141401892
62.5,35,5,5,5,64.41014555252146,35.17813119,1.3287991338286784,5,5,5,64.42403615819532,35.22351472260504,1.3357465333459777
62.5,40,5,5,5,65.08975144602049,39.272547567768896,2.2869761266538045,5,5,5,65.02640192062044,39.398133922262915,2.171349810023806
62.5,45,5,5,5,65.79326319,42.32672069144526,4.086405793029551,5,5,5,65.72002571182593,42.624788327604996,3.8165867679415344
62.5,50,5,5,5,65.89367790985308,45.86897510446552,5.3230463897992015,6,5,4,56.911824629232534,43.08386945966254,9.582237760702434
67.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,10,5,5,5,68.78769941813854,10.172767977137742,0.7242685150703253,5,5,5,68.98310094189237,10.318792080488478,0.8868269277387771
67.5,15,5,5,5,68.86012399253347,15.082152114865684,0.8239027625329307,5,5,5,68.88163161897168,15.064668822072809,0.8505262998087352
67.5,20,5,5,5,68.28539298,20.226132570804275,0.2541661652932332,5,5,5,68.27591944517673,20.236518074842564,0.24015409853773043
67.5,25,5,5,5,68.13042488517101,25.66750147,0.2692261293948889,5,5,5,68.05372757385058,25.629692250508278,0.23430678045099554
67.5,30,5,5,5,68.29692112298926,30.81939906391625,0.46332872077304077,5,5,5,68.39808456,30.812998095638203,0.5093346982460731
67.5,35,5,5,5,68.96611002,35.54389119734604,0.8779813478882698,5,5,5,69.03673453331075,35.61341428724386,0.9607378642984384
67.5,40,5,5,5,69.11167621,40.36388824524935,1.0123205047791874,5,5,5,69.02748556565118,40.448376850618786,0.928746356
67.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,10,4,4,1,74.19509078858874,9.035593235487877,1.7495226932790466,4,4,1,74.08534083177233,8.869900960208378,1.8199174778898737
72.5,15,5,5,5,72.80453425130315,14.630218729645538,0.824538182,5,5,5,73.00734521865198,14.668641007607391,0.7372047776976092
72.5,20,5,5,5,72.59536276789642,19.628347777429525,0.9220118701096588,5,5,5,72.42736687229129,19.69663601522289,0.9732195125318497
72.5,25,5,5,5,72.00488874231583,25.246202786242595,1.1058581507888514,5,5,5,71.952375,25.249159753301555,1.1574955427666243
72.5,30,5,5,5,72.14313119714748,30.69476308574922,1.001240821477431,5,5,5,72.46419979082401,30.710745671920137,0.707675617
72.5,35,5,5,5,72.97488512428393,35.75395236409458,0.3754144485413283,5,5,5,72.84662493145393,35.70599781,0.39728274973597844
72.5,40,5,5,2,73.73751045163712,41.71692252381881,1.4631146604719256,5,5,2,73.98730386613447,41.821790937203815,1.675946783156342
72.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
