X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRLM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRLM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,1.0,3.0,17.101039237404365,13.001510526226742,14.240679644785397,5.0,0.0,1.0,18.716787035625778,13.228012918927856,15.870781152347613
2.5,15,5.0,2.0,4.0,14.20032458897056,16.27750876626211,11.13495521389158,5.0,3.0,4.0,11.525699081327703,13.45167814056762,8.648026542340661
2.5,20,5.0,0.0,5.0,19.863848332477197,19.033786530463452,16.819427759547633,5.0,1.0,5.0,12.33660454752359,19.544891055731128,9.276102353569742
2.5,25,5.0,1.0,5.0,16.7010682792246,29.40299780236151,14.177907100197855,5.0,3.0,5.0,14.225661948254327,26.186529398042893,11.153429171372364
2.5,30,5.0,0.0,5.0,16.260421526833476,32.07932854349015,13.267133794490908,5.0,1.0,3.0,13.557635219113873,30.202785655001644,10.459494628036481
2.5,35,5.0,0.0,2.0,18.469405132937318,37.72523211380183,15.54430180237811,5.0,1.0,3.0,13.494009942316916,30.56979886214914,11.461513238359002
2.5,40,5.0,1.0,1.0,16.60471915026674,35.426746425170606,14.391340814779369,5.0,0.0,0.0,21.379139434109184,37.40210984256266,18.523344294367178
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5.0,2.0,2.0,15.960206020361232,12.788078050934313,8.214971421732226,5.0,3.0,2.0,15.290841742233592,9.865004797924993,7.210715971947053
7.5,15,5.0,2.0,3.0,13.204973387184475,11.719360536225558,6.293477587642269,5.0,4.0,4.0,13.282989834371861,19.352717977739108,6.518233122153886
7.5,20,5.0,1.0,5.0,12.699247636040399,24.131991557604536,5.922908052946183,5.0,3.0,4.0,11.817079169563257,25.752174008624877,6.516321368026655
7.5,25,5.0,1.0,5.0,17.93143686361531,30.87574907281177,11.25348740220795,5.0,5.0,5.0,11.489613818023454,23.031496353590928,4.135128940962857
7.5,30,5.0,1.0,4.0,18.90620175809063,37.941394441522185,13.177504564946384,5.0,2.0,4.0,19.894265741176472,32.655315064038184,12.007961959115567
7.5,35,5.0,2.0,3.0,20.8413404847474,35.21973660104477,12.7426155965432,5.0,2.0,4.0,19.304857054771652,35.57035471125555,11.206151986543508
7.5,40,5.0,3.0,4.0,15.576392459262888,35.841141308944046,8.756690971476575,6.0,1.0,2.0,12.989043393616848,26.511122723689567,14.724254049053922
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,4.0,3.0,18.83750025070298,4.972738524378508,7.33681448171835,5.0,4.0,4.0,17.102028446373684,5.599223262038171,6.561109221320965
12.5,5,5.0,3.0,2.0,21.474256519587207,6.865195893531566,8.501468770881337,5.0,5.0,4.0,18.714144898076754,7.387413012369171,5.955538046082449
12.5,10,5.0,4.0,4.0,13.270242858856324,17.123448546463916,6.72560354079389,5.0,4.0,4.0,15.52359143009582,14.063682968350108,4.3927631751111464
12.5,15,5.0,3.0,5.0,19.905182636502214,17.282240928237638,7.060689883296399,5.0,5.0,5.0,11.822544882628424,20.60816085753457,5.362539612427498
12.5,20,5.0,5.0,5.0,18.659902024155773,23.093815117136465,6.178118678329546,5.0,3.0,3.0,12.516374879318828,28.182923360857906,7.804775097494985
12.5,25,5.0,2.0,5.0,22.889827778717535,26.499596341720082,9.851387722126955,5.0,3.0,4.0,14.996456327463628,34.89164029490952,9.679244913211308
