X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
17.5,40,5.0,5.0,5.0,24.093417378042638,38.56698617655575,6.267454949527852,5.0,4.0,5.0,24.78648220463208,38.04385167336683,7.089462547327387
17.5,45,5.0,5.0,4.0,24.09697310904659,42.61705011384193,6.611240166526636,4.0,4.0,4.0,22.76050670837725,41.78149317512605,5.900331721224551
17.5,50,5.0,5.0,5.0,22.3782330096368,46.149814784436536,6.0305349722342365,5.0,5.0,5.0,22.122305318547134,46.33495666761122,5.718698922815485
22.5,0,5.0,5.0,5.0,26.11499110725041,5.377622755120042,5.819527443795405,5.0,5.0,5.0,25.99341105873267,5.579959906500137,5.933280053035201
22.5,5,5.0,5.0,5.0,26.62568657777202,9.033659913307014,5.062998144405753,5.0,5.0,5.0,26.708001586610315,9.167145902287348,5.216230794175321
22.5,10,5.0,5.0,5.0,24.48942466414106,8.326140548988317,2.496276010355019,5.0,5.0,5.0,24.32507351731187,8.582750515510785,2.191620590269948
22.5,15,5.0,5.0,5.0,25.34787853400374,12.715502222799671,3.5013549119488454,6.0,5.0,5.0,27.534605023735057,13.952052551161117,4.665005201619311
22.5,20,5.0,5.0,5.0,26.32427511134805,16.417336403332484,5.1242130437638025,5.0,5.0,5.0,26.300344350006206,16.409175039013473,5.115553521159733
22.5,25,5.0,5.0,5.0,26.665396685603856,21.329400306376527,5.411269295779174,5.0,5.0,5.0,26.866321521246913,22.08190907856136,5.019452675774637
22.5,30,5.0,5.0,5.0,26.254212529797126,34.471447485436116,5.150314680657218,5.0,5.0,5.0,26.31592483820298,34.59421639171375,5.285226930368382
22.5,35,5.0,5.0,5.0,25.23196335931158,38.24783634326403,3.5574484681387233,5.0,5.0,5.0,25.179155031026056,38.10777754532954,3.41393392994531
22.5,40,5.0,5.0,5.0,24.372174674406786,41.741271996223496,1.84863164801844,5.0,5.0,5.0,24.406896113747138,41.82011867716019,1.9299519448283096
22.5,45,5.0,5.0,5.0,25.968052212250143,42.319660961951726,4.208825499057556,5.0,5.0,5.0,26.18458264455551,41.696634932696625,4.819705687364734
22.5,50,5.0,5.0,5.0,26.026876233361,44.08791128375385,6.957662570660887,5.0,5.0,5.0,25.876342195133144,44.046450895435946,6.933661529710215
27.5,0,5.0,5.0,5.0,29.660823974752883,7.923318959592953,7.683521305230706,5.0,5.0,5.0,29.774020733784717,7.543781632963762,7.337299328541225
27.5,5,5.0,5.0,5.0,27.288339978506514,6.701559772990803,1.5339002031288345,5.0,5.0,5.0,27.26379134912699,6.811447355101052,1.6405573882118893
27.5,10,5.0,5.0,5.0,28.4354950049227,10.834984246524865,0.5493343181095512,5.0,5.0,5.0,28.367923501200032,10.994615107590596,0.6521887216674771
27.5,15,5.0,5.0,5.0,29.715364539682845,15.004615157523796,1.6630489378622322,5.0,5.0,5.0,29.747373278917543,15.009554197203595,1.6930111178054505
27.5,20,5.0,5.0,5.0,29.556652300579913,21.18850503408222,1.6563743881012383,5.0,5.0,5.0,29.747238020503033,20.651424414071947,1.6663154959917312
27.5,25,5.0,5.0,5.0,30.050519870369236,23.61969321340967,2.6408369921456347,6.0,5.0,5.0,29.30948579405799,34.46098768095528,9.141354037583897
27.5,30,5.0,5.0,5.0,29.711517578304314,32.23845752627767,2.4447729917337546,5.0,5.0,5.0,29.754173844034074,32.36592280606303,2.569269076154776
27.5,35,5.0,5.0,5.0,29.498521754735105,35.82849205382095,1.4626922228052803,5.0,5.0,5.0,29.565694827288247,35.80514155269658,1.5206580826934502
27.5,40,5.0,5.0,5.0,28.567860777944293,40.03021151941872,0.596353274418149,5.0,5.0,5.0,28.601119312759494,40.00096453705736,0.6405855651717375
27.5,45,6.0,5.0,5.0,27.97497830428168,42.92660991034066,2.47654779078162,5.0,5.0,5.0,27.258874687038865,43.893312803542,1.7255718182893534
27.5,50,5.0,5.0,5.0,29.64633601192502,42.10726934021112,8.435670504327364,5.0,4.0,5.0,29.52859460941974,42.20243381068917,8.321116150264649
32.5,0,5.0,5.0,5.0,29.38801026105212,5.038070933699263,5.940586655211782,6.0,5.0,5.0,30.158319547434,9.86600127292971,9.912550831350918
32.5,5,5.0,5.0,5.0,31.01700563721472,8.211076428193474,3.498716364688661,5.0,5.0,5.0,31.033025513464498,8.266912316940228,3.534341489020592
32.5,10,6.0,5.0,5.0,30.37107529509716,19.009415744363313,9.031559638529767,5.0,5.0,5.0,32.48919070269376,12.588790681058317,2.27241999708757
32.5,15,5.0,5.0,5.0,33.087916517553566,15.986138693996669,0.5862632336656914,5.0,5.0,5.0,33.16406817179006,16.006911774154453,0.6102840586512369
32.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,35,5.0,5.0,5.0,33.13513753576335,34.731094680045395,0.6698275699634133,5.0,5.0,5.0,33.148077785998794,34.774620427472925,0.6272249064256702
32.5,40,5.0,5.0,5.0,32.58970200992345,38.3404074232725,2.1218684268321577,5.0,5.0,5.0,32.42364143909466,38.211142746260464,2.290972933091555
32.5,45,6.0,6.0,5.0,30.784185730703886,41.41041007258807,4.613005909250736,5.0,5.0,5.0,31.151349860102755,41.88609955597108,4.018050982537205
32.5,50,5.0,5.0,5.0,30.451163353866782,46.494526494716126,4.719010370657451,5.0,5.0,5.0,29.787490260230406,45.65449574118295,5.787273230677743
37.5,0,5.0,4.0,5.0,32.26880750626397,7.382315212535917,9.09700673992352,6.0,4.0,5.0,33.5352334910368,11.689719499762399,12.177637688183511
37.5,5,5.0,5.0,5.0,34.99382281056745,9.15568419836061,4.873756305968393,5.0,5.0,5.0,34.88684223351437,9.481302682997185,5.194363716815269
37.5,10,5.0,5.0,5.0,36.23915538539097,14.358452365851585,4.374024212602787,5.0,5.0,5.0,37.2851305095607,13.769417582297203,3.4665526291032034
37.5,15,5.0,5.0,5.0,39.61430871813106,16.769409439149534,2.0416691959863575,5.0,5.0,5.0,38.64781684508392,16.91481460801496,1.6108279214159469
37.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,35,5.0,5.0,5.0,38.44507020102949,34.04343529284686,1.3997647117755236,5.0,5.0,5.0,38.53944259354432,34.094481713853625,1.3774932988887907
37.5,40,6.0,5.0,6.0,31.83140672013863,28.919910961728174,13.080049924788973,5.0,5.0,5.0,38.39104632263167,37.08689762035414,3.3258615936223936
37.5,45,5.0,5.0,5.0,37.279967658180986,40.737145361045535,4.734412996945697,5.0,5.0,5.0,35.38008167962481,40.82510166124272,5.32237263628513
37.5,50,5.0,5.0,5.0,40.77105937966363,44.74712257868845,6.252166132634593,5.0,5.0,5.0,40.89887179236306,44.94955318746207,6.127075466027038
42.5,0,5.0,5.0,5.0,43.19903387302458,4.806320834016083,4.407433607020126,5.0,5.0,5.0,43.19569290654429,4.614876834335186,4.215962981452551
42.5,5,5.0,5.0,5.0,44.72520669150757,7.670596216541978,2.79229367522396,5.0,5.0,5.0,44.654947664679675,7.521750278379928,2.6305296964106053
42.5,10,6.0,5.0,5.0,39.24238514024444,14.34353194737016,5.516578344058573,6.0,5.0,5.0,39.70972252251505,15.704666087611594,6.29551139109431
42.5,15,5.0,5.0,5.0,42.487462592999655,15.565269409178413,0.6344415281055371,5.0,5.0,5.0,42.575367256106645,15.698889448715201,0.6037999822112855
42.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,35,5.0,5.0,5.0,42.19751824829495,35.70027276709551,0.9511240964352752,5.0,5.0,5.0,42.02012847307674,35.7594291496449,1.138117668905126
42.5,40,5.0,5.0,5.0,43.721041182856275,38.20970256519544,2.276641167095715,5.0,5.0,5.0,43.898640024495066,37.947671302606025,2.5790971150360935
42.5,45,5.0,5.0,5.0,45.72817158271707,41.53794314051027,4.671484673434472,6.0,5.0,5.0,40.338500214133795,43.169130171192165,3.550022712663145
42.5,50,5.0,5.0,5.0,46.18001064399885,46.205740033106096,5.203679682401198,5.0,5.0,5.0,43.55004788168405,45.70824245311893,4.713293113580333
47.5,0,5.0,4.0,5.0,46.48490817866194,9.119060052213221,8.867385735686337,5.0,5.0,5.0,46.73440409164816,6.73931773612315,6.484736042772506
47.5,5,5.0,5.0,5.0,48.91630615040077,7.035058265076243,1.8275041070750722,5.0,5.0,5.0,48.74632445220449,6.896771444322144,1.6303558059686318
47.5,10,6.0,4.0,6.0,44.32267005315665,22.737669135276978,12.902957072659188,5.0,5.0,5.0,47.663878723586244,10.495152436825842,0.44638072760219055
47.5,15,5.0,5.0,5.0,46.85065083692033,14.865667597324867,1.3588172974452657,5.0,5.0,5.0,46.8720458274859,14.92198889703378,1.317712436138393
47.5,20,5.0,5.0,5.0,46.62246563698303,19.044908164361004,2.0048395638832117,5.0,5.0,5.0,46.64750715627848,19.18143085058862,1.8959552296822328
47.5,25,5.0,5.0,5.0,45.77604873673416,27.573917700990144,3.182242549635897,7.0,5.0,5.0,40.950682945166285,36.49495941541183,13.198896119758343
47.5,30,5.0,5.0,5.0,46.445950006173305,31.956586617149117,2.271308714984784,5.0,5.0,5.0,46.33223524143387,32.152944836305075,2.4895396845113758
47.5,35,5.0,5.0,5.0,47.571224237601186,35.581137962053944,0.5589407555345247,5.0,5.0,5.0,46.98425285612804,33.81679339442017,1.9368621130607198
47.5,40,5.0,5.0,5.0,47.93931608340232,39.98002164706563,0.44966780848381754,5.0,5.0,5.0,48.03833982462062,39.8310531606236,0.5722783267468836
47.5,45,5.0,5.0,5.0,49.23378781242018,43.741054827936544,2.009371515550368,5.0,5.0,5.0,49.23551506971602,43.76070501607102,1.9941621092295596
47.5,50,5.0,5.0,5.0,46.41828942477383,43.187898275738405,7.405576394847641,5.0,4.0,5.0,46.237911467427814,42.32190478770019,8.289933411199266
52.5,0,5.0,5.0,5.0,51.60468854027471,5.2518231504692565,5.077021198007273,5.0,5.0,5.0,50.90928291751588,5.507339621213104,5.55735182815529
52.5,5,5.0,5.0,5.0,49.58123588962953,11.212464992836917,6.794589771088902,5.0,5.0,5.0,49.648977899273746,10.934127823436494,6.5219724244920725
52.5,10,6.0,5.0,6.0,49.08038030160909,12.1282371162889,4.375402387188043,5.0,5.0,5.0,51.305189394546744,9.409727832145048,2.049874160985409
52.5,15,5.0,5.0,5.0,50.31956625508901,11.988681402145705,4.400898361233348,5.0,5.0,5.0,50.4373347733513,12.18373915870782,4.175418530930002
52.5,20,5.0,5.0,5.0,50.15322379835119,18.647769846525122,3.428381614311682,5.0,5.0,5.0,50.481698153306965,16.142387983350133,4.998276167311836
52.5,25,5.0,5.0,5.0,49.72639128049722,26.844090696965157,3.6696912313390246,5.0,5.0,5.0,49.92449443693222,28.66845620957691,4.557043073638463
52.5,30,5.0,5.0,5.0,49.97850584506303,34.9842212736953,5.546062607427562,5.0,5.0,5.0,50.08083802564464,34.77717742771635,5.31742618764971
52.5,35,5.0,4.0,5.0,50.317077835902154,36.12836379765784,2.8766594503287317,5.0,5.0,5.0,50.979569971394184,37.97889419414845,3.338700161863277
52.5,40,5.0,5.0,5.0,51.91465117562984,41.08982156009344,1.37146112602781,5.0,5.0,5.0,51.87635099144713,41.24462640943693,1.4868458789164214
52.5,45,7.0,5.0,5.0,47.44283452855416,36.48350285974523,10.559708444057087,5.0,5.0,5.0,49.62484498739815,38.87995667787786,7.388346721964348
52.5,50,5.0,5.0,5.0,50.59680306290823,45.436657659133594,5.558845392570549,5.0,5.0,5.0,50.53227296041648,45.098269337440186,5.890803864341035
57.5,0,5.0,5.0,5.0,55.89710574150937,1.33027366890614,2.391265818170593,5.0,5.0,4.0,58.282545305036784,3.411440654928389,3.016968280666288
57.5,5,5.0,4.0,4.0,57.665818327794796,7.27749785190282,1.9270474587769264,5.0,5.0,5.0,55.8055447559246,6.685479026525246,2.6300154362097192
57.5,10,5.0,4.0,5.0,51.00470923284963,11.064546734185123,7.126343622947567,6.0,5.0,5.0,49.66454742684227,14.77618503155081,9.503044540796532
57.5,15,5.0,5.0,5.0,51.522498623698404,14.49245323294383,6.63981667590631,6.0,4.0,5.0,48.950300656203844,17.6471660822875,9.421610981315625
57.5,20,5.0,5.0,5.0,55.37496196608147,19.718541448760174,2.8089531935154146,5.0,5.0,5.0,54.36632692464882,17.62302745711017,4.6531592641523005
57.5,25,5.0,5.0,5.0,52.86144311596655,27.3141301437048,5.577308708892993,6.0,5.0,5.0,51.262654746868975,24.147170216706144,6.95117778339912
57.5,30,5.0,5.0,5.0,53.69527567696868,29.640198460288808,4.469775692543335,5.0,5.0,5.0,53.45023201457441,30.685506186386863,4.658525099294189
57.5,35,5.0,5.0,5.0,52.327710734316085,35.620821748239635,5.776511543416612,5.0,5.0,5.0,52.15712040119629,35.447112764531134,5.94306634141494
57.5,40,5.0,5.0,5.0,52.56291778046809,40.278646809815406,5.538411875495033,5.0,5.0,5.0,52.494310712022525,40.08188443235205,5.614708354645449
57.5,45,5.0,5.0,5.0,54.73888355774453,43.65453773171397,3.7873133311637,5.0,5.0,5.0,54.38216187525039,43.52434920913404,4.164178936011013
57.5,50,5.0,5.0,5.0,54.31765737206185,46.69726471961596,5.293048678381745,5.0,5.0,5.0,54.2087872623845,45.791215549284026,6.0317850328524205
62.5,0,6.0,5.0,2.0,60.15335882370233,1.5977709457563243,3.180778121836062,5.0,3.0,2.0,61.41401316139595,3.7644324998748395,3.7632376574115205
62.5,5,5.0,1.0,2.0,57.04604575620707,7.823717733861133,6.521101873101767,5.0,3.0,3.0,54.56320228439512,6.405916346974836,8.595858475700258
62.5,10,5.0,5.0,5.0,57.422451965970176,9.048697993015512,5.836143314963765,5.0,5.0,5.0,58.233670801000564,9.309577412475202,4.987001232446087
62.5,15,5.0,1.0,5.0,51.55928014184669,15.185207078073642,11.542718520508233,5.0,2.0,5.0,53.773842473509305,15.16784920308417,9.329046478683003
62.5,20,5.0,3.0,5.0,53.8086796539903,19.561879208219683,9.329044979728002,5.0,4.0,5.0,54.79830865391682,19.763321653228765,8.32606981251537
62.5,25,5.0,3.0,5.0,53.49104747413039,25.697821282111317,9.613566776201974,6.0,4.0,5.0,55.37236415888714,31.26716874359475,9.702578253158658
62.5,30,5.0,5.0,5.0,54.51632164725662,32.01838968347842,8.734913807871532,5.0,3.0,5.0,54.167639121095895,31.46403544585783,8.995512342330391
62.5,35,5.0,3.0,5.0,53.984911408582505,36.90482633360711,9.238470778419273,6.0,4.0,5.0,53.507682022999376,41.78220630711814,11.52150691179361
62.5,40,5.0,5.0,5.0,59.90764155467491,40.924822720624384,3.2352111726318595,5.0,5.0,5.0,58.465698170198515,41.35698114211547,4.732078439339953
62.5,45,5.0,5.0,5.0,60.01235865896791,44.31051335453952,3.274219021612201,5.0,5.0,5.0,61.11346815030106,44.005324783158756,2.4272263492182735
62.5,50,5.0,5.0,3.0,63.59591043688854,46.519493472670284,3.9120657036997093,5.0,4.0,2.0,63.08591384664836,47.09714041895539,3.30288961847265
67.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,10,6.0,4.0,4.0,53.435368340857366,17.456905046350453,16.27425360904563,6.0,4.0,3.0,61.23632982452376,5.8129735412032035,8.255348569952929
67.5,15,5.0,2.0,5.0,57.760983903101646,14.494319120696233,10.37860837044445,5.0,2.0,5.0,58.382678886103875,15.000329838226861,9.725536790778342
67.5,20,5.0,3.0,5.0,59.934000918918116,19.508436673345823,8.214525315419312,5.0,4.0,5.0,61.49592439057879,19.673848026818046,6.643877733907214
67.5,25,5.0,0.0,5.0,54.75790845277504,28.422911940774377,13.680255971881808,5.0,0.0,5.0,55.35957315744842,29.678263110562234,13.439568868591218
67.5,30,5.0,1.0,5.0,56.77312637000291,31.48839337330989,11.379045055055725,5.0,0.0,5.0,55.89381989201105,31.393669606788414,12.246559194978808
67.5,35,5.0,1.0,5.0,56.815336492827626,37.563625885414965,11.490209199233297,5.0,4.0,5.0,58.81976015046287,37.01355842728215,9.419470391863339
67.5,40,5.0,2.0,2.0,60.66771727783349,40.551853605663595,7.433833868184558,5.0,3.0,3.0,58.33805651368306,41.49556545628354,9.823227794317276
67.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,10,5.0,0.0,0.0,57.70883926105921,3.84779137253215,16.72779922134936,6.0,0.0,0.0,54.71936346734745,3.9077819544287955,19.493503905063395
72.5,15,6.0,2.0,5.0,51.890115424540745,18.48801596759738,21.433502894311058,5.0,1.0,5.0,59.25177433174751,14.561975036554728,13.873559024208761
72.5,20,5.0,2.0,5.0,61.833546246874164,17.117235499022335,11.734970086889964,5.0,5.0,5.0,66.29518023492128,18.44842464883347,7.079139664287373
72.5,25,5.0,0.0,5.0,59.02039600663676,24.74917897756932,14.094637867400769,5.0,1.0,5.0,59.619891729511515,24.223771884082073,13.531327782770164
72.5,30,5.0,1.0,5.0,58.70396170111544,33.866771609613544,14.807579954069922,5.0,0.0,5.0,58.36897927321363,32.14423206581673,14.833924536427732
72.5,35,5.0,1.0,5.0,59.99646878833188,37.409665108828364,13.256744851765177,5.0,0.0,5.0,62.868802426250056,36.27474690566642,10.26852403912459
72.5,40,5.0,0.0,0.0,56.72432025868144,45.64007698299845,17.193641085528718,5.0,0.0,0.0,53.316227018233825,43.71200448796889,20.05908889063477
72.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
